"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"HOFT","Hooker Furniture Corporation","31.78","343589692.46","n/a","United States","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/hoft",
"HH","Hooper Holmes, Inc.","0.135","10524366.45","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh",
"HFBC","HopFed Bancorp, Inc.","11.5483","79022534.0155","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hfbc",
"HMN","Horace Mann Educators Corporation","31","1252218495","n/a","United States","1991","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hmn",
"HBNC","Horizon Bancorp (IN)","24.8","296109197.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbnc",
"HZN","Horizon Global Corporation","12.04","218307654.6","n/a","United States","2015","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/hzn",
"HZNP","Horizon Pharma plc","16.02","2561348969.1","n/a","Ireland","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hznp",
"HRZN","Horizon Technology Finance Corporation","11.14","128544281.76","n/a","United States","2010","n/a","n/a","http://www.nasdaq.com/symbol/hrzn",
"HTF","Horizon Technology Finance Corporation","25.2601","291475889.7384","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/htf",
"HRL","Hormel Foods Corporation","43.27","22929530571.16","n/a","United States","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/hrl",
"HOS","Hornbeck Offshore Services","9.51","342217445.1","n/a","United States","2004","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/hos",
"HDP","Hortonworks, Inc.","10.63","601822127.2","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/hdp",
"HPT","Hospitality Properties Trust","25.32","3837177332.16","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hpt",
"HPT^D","Hospitality Properties Trust","26.39","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hpt^d",
"HST","Host Hotels & Resorts, Inc.","16.18","12171864657.62","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hst",
"HMHC","Houghton Mifflin Harcourt Company","19.68","2430896251.68","n/a","United States","2013","Consumer Services","Books","http://www.nasdaq.com/symbol/hmhc",
"HLI","Houlihan Lokey, Inc.","24.3","1587372325.2","n/a","United States","2015","Finance","Investment Managers","http://www.nasdaq.com/symbol/hli",
"HSFC^B","Household Finance Corp","25.06","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hsfc^b",
"HUSA","Houston American Energy Corporation","0.2","10395989","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa",
"HWCC","Houston Wire & Cable Company","7.15","118827594.6","n/a","United States","2006","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/hwcc",
"HOV","Hovnanian Enterprises Inc","1.46","214795388.34","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hov",
"HOVNP","Hovnanian Enterprises Inc","2.3","11500000","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hovnp",
"HBMD","Howard Bancorp, Inc.","12.01","83530714.97","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbmd",
"HHC","Howard Hughes Corporation (The)","100.97","4010007192.86","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hhc",
"HPQ","HP Inc.","12.07","20964818908.05","n/a","United States","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/hpq",
"HRG","HRG Group, Inc.","13.41","2690020038.24","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrg",
"HSBC","HSBC Holdings plc","31.21","122874375037.06","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsbc",
"HSBC^A","HSBC Holdings plc","25.52","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hsbc^a",
"HSEA","HSBC Holdings plc","27.12","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","25.95","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hseb",
"HUSI^F","HSBC USA, Inc.","21.46","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^f",
"HUSI^G","HSBC USA, Inc.","22.4099","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^g",
"HUSI^H","HSBC USA, Inc.","25.13","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^h",
"HSNI","HSN, Inc.","52.94","2767536439","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hsni",
"HTGM","HTG Molecular Diagnostics, Inc.","2.82","19288416.48","n/a","United States","2015","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/htgm",
"HNP","Huaneng Power International, Inc.","34.98","12610625318.28","n/a","China","1994","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/hnp",
"HUBG","Hub Group, Inc.","38.74","1381119740","n/a","United States","1996","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/hubg",
"HUBB","Hubbell Inc","100.96","5728090487.52","n/a","United States","2015","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/hubb",
"HUBS","HubSpot, Inc.","44.93","1559415747.89","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/hubs",
"HBM","HudBay Minerals Inc","3.74","879766513.12","n/a","Canada","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/hbm",
"HBM.WS","HudBay Minerals Inc","n/a","0","n/a","Canada","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hbm.ws",
"HSON","Hudson Global, Inc.","2.33","80326861.84","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/hson",
"HPP","Hudson Pacific Properties, Inc.","28.65","2576212240.2","n/a","United States","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/hpp",
"HDSN","Hudson Technologies, Inc.","3.42","112342270.14","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/hdsn",
"HGT","Hugoton Royalty Trust","1.3628","54512000","n/a","United States","1999","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hgt",
"HUM","Humana Inc.","184.07","27298204813.23","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hum",
"HBAN","Huntington Bancshares Incorporated","9.59","7624291121.37","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hban",
